Series,Body,Country,L1,L2,L3,L4,Comments,Author,Date,Attachment,Events
Report,Situational Report,TL,Baucau,Venilale,Fatulia,,,eduardo.dossantos@tl.mercycorps.org,2007-01-08,,Floods Same
Report,Flood Manufahi Lessons Learnt,TL,Baucau,Venilale,Uailaha,,,liliana.otilia@mss.gov.tl,2007-01-09,,Floods Same
Activity,Community Mitigation Activities,TL,Baucau,Venilale,Uaiolo,,,adriana.macedo@redcross.tl,2007-01-10,,Floods Same
Activity,Distribution of NFIs,TL,Baucau,Venilale,Uataco,,,jose.soares@oxfam.org.tl,2007-01-11,,Floods Same
Activity,Distribution of NFIs,TL,Baucau,Venilale,Uma Ana Ico,,,adriana.macedo@redcross.tl,2007-01-12,,Floods Same
Activity,Distribution of NFIs,TL,Baucau,Venilale,Uma Ana Ulu,,,eduardo.dossantos@tl.mercycorps.org,2007-01-13,,Floods Same
Activity,Distribution of NFIs,TL,Dili,Vera Cruz,Caicoli,,,jose.soares@oxfam.org.tl,2007-01-14,,Floods Same
Activity,Reconstruction of Houses,TL,Dili,Vera Cruz,Colmera,,,adriana.macedo@redcross.tl,2007-01-15,,Floods Same
Activity,Reconstruction of Houses,TL,Dili,Vera Cruz,Dare,,,liliana.otilia@mss.gov.tl,2007-01-16,,Floods Same
Activity,Reconstruction of Houses,TL,Dili,Vera Cruz,Lahane Ocidental,,,eduardo.dossantos@tl.mercycorps.org,2007-01-17,,Floods Same
Activity,Reconstruction of Houses,TL,Dili,Vera Cruz,Macarenhas,,,jose.soares@oxfam.org.tl,2007-01-18,,Floods Same
Activity,First Aid,TL,Dili,Vera Cruz,Motael,,,jose.soares@oxfam.org.tl,2007-01-19,,Floods Same
Activity,First Aid,TL,Dili,Vera Cruz,Vila Verde,,,eduardo.dossantos@tl.mercycorps.org,2007-01-20,,Floods Same
Activity,First Aid,TL,Viqueque,Viqueque,Bahalarauain,,,liliana.otilia@mss.gov.tl,2007-01-21,,Floods Same
Assessment,Damage Assessment,TL,Viqueque,Viqueque,Bibileo,,,adriana.macedo@redcross.tl,2007-01-22,,Floods Same
Assessment,Community Needs Assessment,TL,Viqueque,Viqueque,Caraubalo,,,jose.soares@oxfam.org.tl,2007-01-23,,Floods Same
Assessment,Area Assessment ,TL,Viqueque,Viqueque,Luca,,,adriana.macedo@redcross.tl,2007-01-24,,Floods Same
Assessment,Damage Assessment,TL,Viqueque,Viqueque,Maluru,,,eduardo.dossantos@tl.mercycorps.org,2007-01-25,,Floods Same
Assessment,Community Needs Assessment,TL,Viqueque,Viqueque,Uai Mori,,,jose.soares@oxfam.org.tl,2007-01-26,,Floods Same
Assessment,Area Assessment ,TL,Viqueque,Viqueque,Uma Quic,,,adriana.macedo@redcross.tl,2007-01-27,,Floods Same
Assessment,Damage Assessment,TL,Viqueque,Viqueque,Uma Uain Craic,,,liliana.otilia@mss.gov.tl,2007-01-28,,Floods Same
Assessment,Community Needs Assessment,TL,Viqueque,Viqueque,Uma Uain Leten,,,eduardo.dossantos@tl.mercycorps.org,2007-01-29,,Floods Same
Assessment,Area Assessment ,TL,Viqueque,Viqueque,Watu Dere,,,jose.soares@oxfam.org.tl,2007-01-30,,Floods Same
Assessment,Damage Assessment,TL,Viqueque,Watulari,Afaloicai,,,jose.soares@oxfam.org.tl,2007-01-31,,Floods Same
Assessment,Community Needs Assessment,TL,Viqueque,Watulari,Babulo,,,eduardo.dossantos@tl.mercycorps.org,2007-02-01,,Floods Same
Assessment,Area Assessment ,TL,Viqueque,Watulari,Macadique,,,liliana.otilia@mss.gov.tl,2007-02-02,,Floods Same
Incident,Flooding,TL,Viqueque,Watulari,Matahoi,,,adriana.macedo@redcross.tl,2007-02-03,,Floods Same
Incident,Landslide,TL,Viqueque,Watulari,Uaitame,,,jose.soares@oxfam.org.tl,2007-02-04,,Floods Same
Incident,Houses Destroyied,TL,Viqueque,Watulari,Vessoru,,,adriana.macedo@redcross.tl,2007-02-05,,Floods Same
Incident,Flooding,TL,Covalima,Zumalai,Fatuleto,,,eduardo.dossantos@tl.mercycorps.org,2007-02-06,,Floods Same
Incident,Landslide,TL,Covalima,Zumalai,Lepo,,,jose.soares@oxfam.org.tl,2007-02-07,,Floods Same
Incident,Houses Destroyied,TL,Covalima,Zumalai,Lour,,,adriana.macedo@redcross.tl,2007-02-08,,Floods Same
Incident,Flooding,TL,Covalima,Zumalai,Raimea,,,liliana.otilia@mss.gov.tl,2007-02-09,,Floods Same
Incident,Landslide,TL,Covalima,Zumalai,Tashilin,,,eduardo.dossantos@tl.mercycorps.org,2007-02-10,,Floods Same
Incident,Houses Destroyied,TL,Covalima,Zumalai,Zulo,,,jose.soares@oxfam.org.tl,2007-02-11,,Floods Same
Report,VCA,TL,Viqueque,Watulari,Macadique,,,jose.soares@oxfam.org.tl,2009-04-15,,
Report,VCA,TL,Oecusse,Pante Macasar,Lalisuc,,,eduardo.dossantos@tl.mercycorps.org,2009-04-10,,
Report,VCA,TL,Manufahi,Same,Letefoho,,,liliana.otilia@mss.gov.tl,2009-04-20,,
Report,VCA,TL,Manatuto,Laclubar,Fatumaquerec,,,eduardo.dossantos@tl.mercycorps.org,2009-05-01,,
Report,VCA,TL,Aileu,Liquidoe,Bereleu,,,jose.soares@oxfam.org.tl,2009-05-05,,
Report,VCA,TL,Ainaro,Hatu-Udo,Leolima,,,adriana.macedo@redcross.tl,2009-04-15,,
Report,VCA,TL,Bobonaro,Cailaco,Purugoa,,,liliana.otilia@mss.gov.tl,2009-04-10,,
Report,VCA,TL,Covalima,Suai,Camenasa,,,eduardo.dossantos@tl.mercycorps.org,2009-04-20,,
Report,VCA,TL,Dili,Dom Aleixo,Bairro Pite,,,jose.soares@oxfam.org.tl,2009-05-01,,
Report,VCA,TL,Ermera,Hatolia,Fatubessi,,,jose.soares@oxfam.org.tl,2009-05-05,,
Report,VCA,TL,Lautém,Lospalos,Fuiloro,,,eduardo.dossantos@tl.mercycorps.org,2009-04-15,,
